color,count
578 diorkiss,1
579 must-have,1
612 city lights,1
623 not shy,1
639 riviera,1
655 mutine,1
680 after party,1
686 fantasy,1
009 award,1
722 true,1
745 new look,1
750 rock'n roll,1
871 power,1
881 fashion night,1
976 be dior,1
983 insoumise,1
987 black tie,1
435 dreamy,1
344 rolling,1
420 underground,1
535 tailleur bar,1
glam black ,1
ultra black (7883c) ,1
532 so electric,1
013 ange bleu,1
014 dolce vita,1
015 broadway,1
021 icône,1
023 diorella,1
024 liz,1
025 diorissimo,1
423 minimal,1
853 hype,1
875 beverly pink,1
955 excessive,1
465 cruise,1
885 artsy,1
951 too much,1
967 gotha,1
974 rebellious,1
138 purity,1
260 bright,1
266 delight,1
334 happy,1
343 spring ball,1
441 frimousse,1
451 tribale,1
desire,1
deception,1
mystery,1
rose femme ,1
coral,1
bordeaux,1
hollywood & highlight,1
beverly hills blush,1
mulholland mauve,1
silver lake sunset,1
laurel canyon coral,1
echo park pink,1
fairfax fuchsia,1
sunset & wine,1
nude fair,1
nude light,1
do no wrong,1
nude medium,1
nude dark,1
rosebud,1
red label (cream) ,1
melon,1
rebel rouge ,1
figgy,1
mandarin (erin),1
honey (sara),1
pretty natural  ,1
power pink  ,1
blackout,1
cruise,1
hang,1
deco,1
deep black,1
3d galaxy,1
3d sparks,1
3d neptune,1
3d billionaire,1
3d pacific,1
3d orchid,1
3d gemstone,1
3d gunmetal,1
raven,1
sumatra,1
violetta,1
french navy,1
storm,1
cabana,1
penny lane,1
bare,1
color 9,1
color 10,1
color 11,1
color 12,1
color 13,1
color 14,1
plumrose (cream) ,1
pink frost (metallic) ,1
nut bush,1
dirty,1
call back,1
nerve,1
press tour,1
done deal,1
nude mood,1
tarot card,1
phantom,1
work it,1
safe word,1
monogamous,1
chai,1
easy,1
shavasana,1
cliffhanger,1
addis ababa ,1
booked,1
later,1
off script,1
first time,1
on set ,1
juice it,1
wrap party,1
stylist,1
cognac,1
ticket me,1
back talk,1
inside access,1
full frontal,1
mandarin,1
nylon nude,1
fair play,1
obvi,1
magenta,1
punch drunk,1
paris pink,1
mulberry,1
shock me pink,1
plum scene,1
electric pink,1
latte,1
pink petal,1
fuchsia flash,1
grenadine,1
posy pink,1
hide out,1
gets it,1
publicist,1
rookie,1
hire me,1
just hit play,1
standing o,1
4.4,1
4.3,1
4.2,1
party in the buff ,1
bordeaux cherry ,1
autumn ,1
african violet,1
cheeky ,1
petal,1
pink minx ,1
champagne,1
toasted beige,1
ravishing rose ,1
red carpet ,1
wine tour ,1
unapologet ,1
4.15,1
sultry ,1
juicy details,1
air kiss,1
nice &#039;n teasy,1
frisky business,1
lip service,1
tutti-cutie,1
talk flirty,1
fling thing,1
dare me,1
wing woman,1
carnation (rose) ,1
chocolate kiss ,1
safari,1
grapefruit (nude) ,1
new iman nude,1
new baby doll,1
new hipster,1
new diva,1
new drama queen,1
new rebel,1
sheer gold,1
hot,1
kinky pink,1
paprika,1
iman red,1
flirtatious,1
sheer ice tea,1
opal,1
jaguar,1
wild thing,1
black brandy,1
white gold,1
petunia ,1
morden's blush ,1
hibiscus ,1
pewter,1
tiger eye,1
lollibop,1
kiss you,1
icebreaker,1
tuscan toast ,1
5,1
6,1
7,1
8,1
sweet nectar (cream) ,1
sangria (matte) ,1
ruby valentine (vinyl) ,1
rose hip (cream) ,1
0.5,1
1.1,1
1.15,1
1.2,1
2.1,1
2.15,1
2.2,1
2.25,1
2.3,1
2.4,1
3.1,1
3.15,1
3.2,1
3.35,1
4.05,1
teddy bare (cream) ,1
2,1
fauxmance,1
uptown mauve (cream) ,1
a-lister,1
poutrageous!,1
striking ,1
standout ,1
bikini-tini,1
r.s.v.p.,1
birthday suit,1
always a bridesmaid,1
blue my mind,1
no pressure!,1
my two cents,1
bronze have more fun,1
shewy ,1
holy smokes!,1
beyond black,1
beyond purple,1
beyond green,1
warm matte,1
deep matte,1
elusive ,1
violet volt ,1
velvet merlot ,1
dark  ,1
cool beige ,1
premium pink ,1
mocha ,1
daring graffiti (with glitter) ,1
nemesis ,1
infallible red ,1
red revenge ,1
speed of light  ,1
heaven to henna 205 ,1
adventurous ,1
bewitching  ,1
bubbly ,1
chameleon ,1
cherries in the snow ,1
creme brulee ,1
desirable ,1
plum seduction ,1
divine ,1
dreamer ,1
elegant ,1
fearless ,1
hypnotic ,1
flamboyant flamingo 113 ,1
iced mauve ,1
everlasting caramel 201 ,1
impulsive ,1
irresistible ,1
optimistic ,1
mutant  ,1
fury  ,1
lilac infinite 105 ,1
neverending nutmeg 119 ,1
flashing lights ,1
pink crush - sheer pink (glitter finish) ,1
private viewing ,1
finale ,1
muse ,1
womenswear ,1
socialite ,1
preview ,1
silhouette ,1
fashionista ,1
runway ,1
supermodel ,1
backstage ,1
stylist ,1
ready 2 wear ,1
boho chic ,1
violet parfait 107 ,1
toujours teaberry 109 ,1
timeless rose 115 ,1
raisin revival 215 ,1
perpetual apricot 207 ,1
passionate petal 111 ,1
skipping stone - light pink (metallic finish) ,1
passionate ,1
pure pearl ,1
blushing beige ,1
dark pink frost  ,1
carousel coral ,1
chinchilly (696) ,1
cocktails & coconuts ,1
cute as a button (686) ,1
red quartz (13) ,1
double breasted jacket ,1
soft coral (01) ,1
eternal optimist (676) ,1
praline # 340 ,1
pink ice ,1
fuchsia with blue pearl ,1
red - medium   ,1
raven red ,1
nude - medium   ,1
pink - medium ,1
berry - medium   ,1
fashion playground ,1
fifth avenue (444) ,1
fiji (348) ,1
red - light / medium ,1
nude - light / medium   ,1
pink - light / medium   ,1
berry - light / medium   ,1
red - light   ,1
buy me cameo (286) ,1
butler please (819) ,1
violet marble (15) ,1
bordeaux (424) ,1
revlon red ,1
romantique ,1
sheer petal ,1
stunner (with glitter) ,1
continual crimson 213 ,1
valentine ,1
vivacious ,1
vixen ,1
a list (434) ,1
cherry noir 217 ,1
absolutely shore ,1
seduction ,1
after school boy blazer ,1
angora cardi (700) ,1
addiction ,1
aruba blue (280) ,1
bahama mama (400) ,1
ballet slippers (162) ,1
pink topaz (16) ,1
beach bum blu - sea side blue pearl (776) ,1
berry naughty ,1
bikini so tenny (800) ,1
blanc (008) ,1
cruise collection ,1
high heels ,1
hd camilla ,1
hd sweet pea ,1
pink knickers  ,1
rather red ,1
shop girl  ,1
smashing! ,1
ta-ta! ,1
tea time ,1
hd tulip ,1
twist & twirl ,1
no place like chrome ,1
good as gold ,1
penny talk ,1
baroque beauty	- medium taupe ,1
hd dahlia ,1
call me baby	 - coral ,1
cherry blossom	 - light bubble gum pink ,1
deep wine	 - rich deep red burgundy ,1
eggplant	 - dark purple black ,1
jazz hands	 - medium shimmering caramel ,1
medieval - deep grey brown with slight green undertone ,1
melon mania	 - bright orange coral ,1
mink	 - medium grey ,1
nebula - mixed pink glitter ,1
saturn	 - large gold glitter and small rose glitter ,1
sheer love	 - sheer nude ,1
freida's nude ,1
over the moon  ,1
mum's the word  ,1
loverly  ,1
jlo's nude ,1
drops of jade  (55) ,1
comfy in cashmere ,1
wrap me up ,1
coat couture ,1
spun in luxe ,1
black magic ,1
celestial fix (moon & stars glitter) ,1
sterling (metcallic) ,1
ace ,1
afters ,1
brill! ,1
british khaki ,1
broody  ,1
candy floss ,1
chat up  ,1
coming up roses ,1
dapper ,1
dearie me! ,1
fancy  ,1
flusher blusher  ,1
her majesty's red  ,1
jolly good ,1
twilight romance	 - medium dusty rose ,1
velvet rose	 - medium deep reddish rose ,1
hd snapdragon ,1
out of this world (gray shimmer) ,1
pinky glitter (pink glitter) ,1
rich in heart (red pearl) ,1
rise and shine (green matte) ,1
ruby ruby (red cream) ,1
savage (blue matte) ,1
hd peony ,1
hd marigold ,1
snow me white (white cream) ,1
hd magnolia ,1
social ladder (pink shimmer) ,1
soul mate (nude cream) ,1
hd iris ,1
sugar sugar (red shimmer) ,1
hd hydrangea ,1
timbleberry (red cream) ,1
